DateTime,Open,High,Low,Close,Strike,BB_Middle_9,BB_Upper_9,BB_Lower_9,BB_Middle_20,BB_Upper_20,BB_Lower_20,MACD_Line,MACD_Signal,MACD_Histogram,RSI_14,RSI_9,EMA_9,EMA_20,VWAP_14,SuperTrend_Value,SuperTrend_Direction
2026-02-05 09:49:00,153.85,153.95,145.35,147.2,25650,141.42777777777778,152.8177884779483,130.03776707760724,139.4525,150.38099749809138,128.52400250190863,3.207443294467282,1.8315230803117488,1.3759202141555336,55.77360917471351,57.10928764226288,143.78695418060158,141.18714061135717,139.5952380952381,116.68214285714284,1.0
2026-02-05 09:50:00,146.45,147.45,141.1,143.05,25650,142.92777777777778,152.15263380646456,133.702921749091,139.58999999999995,150.582489661008,128.59751033899195,2.75231558265196,2.1384539144251526,0.6138616682268072,51.956487068994434,51.69398923289272,143.63956334448127,141.3645557912279,139.64166666666668,116.68214285714284,1.0
2026-02-05 09:51:00,143.05,149.5,141.75,148.3,25650,144.72222222222223,151.96060731490684,137.48383712953762,140.22250000000005,151.4933878456379,128.95161215436215,3.064299714042079,2.447069180964128,0.6172305330779508,56.05401909296972,57.43783873769687,144.57165067558503,142.02507428730144,139.73333333333332,116.68214285714284,1.0
2026-02-05 09:52:00,147.6,153.15,147.4,151.4,25650,146.45555555555555,152.36670762177738,140.54440348933372,141.1,152.72735544897645,129.47264455102356,3.6300602167615352,2.8413995262299307,0.7886606905316045,58.31479055688111,60.55359994834184,145.93732054046802,142.9179243551775,141.59642857142856,120.82142857142858,1.0
2026-02-05 09:53:00,152.4,152.6,147.35,150.0,25650,147.5722222222222,152.4111916372938,142.7332528071506,141.745,153.64859051317134,129.84140948682867,3.772919961780104,3.1519063380799888,0.6210136237001156,56.89136461584442,58.3822000437405,146.74985643237443,143.59240774992247,141.73809523809524,125.525,1.0
2026-02-05 09:54:00,127.0,131.7,127.0,129.0,25600,145.86666666666667,156.36157614698132,135.37175718635203,141.15500000000003,153.8041499090276,128.50585009097244,1.0401355398380758,2.4479827386660182,-1.4078471988279424,40.80267336931759,36.37241610041866,143.19988514589954,142.20265463088222,142.02023809523808,125.525,1.0
2026-02-05 09:55:00,151.95,155.2,149.4,152.35,25650,146.55555555555554,157.54378789747472,135.56732321363637,141.79000000000002,154.96646526357148,128.61353473642856,2.1530125033166883,2.349659326882908,-0.1966468235662199,55.77770934869602,56.7624042086214,145.02990811671964,143.16906847556012,143.7202380952381,125.525,1.0
2026-02-05 09:56:00,152.15,161.05,149.35,151.6,25650,147.2611111111111,158.49314537699536,136.02907684522685,142.075,155.596200458617,128.55379954138297,2.797915154194129,2.499077935986649,0.2988372182074803,55.29386928838718,56.11263503352169,146.3439264933757,143.9720143350306,145.19880952380953,125.725,1.0
2026-02-05 09:57:00,150.45,151.6,143.85,146.8,25650,146.63333333333333,157.47991257519564,135.786754091471,142.19,155.78187160343307,128.59812839656692,2.567080358770255,2.521745410247851,0.0453349485224041,52.1745182320513,51.839999865578775,146.43514119470058,144.24134630312292,146.08809523809524,125.725,1.0
2026-02-05 09:58:00,146.95,150.65,143.35,144.75,25650,146.36111111111111,157.24081555332822,135.481406668894,143.13500000000002,155.45498777126872,130.81501222873132,2.082811708293349,2.375434176263017,-0.292622467969668,50.85499158210752,50.01038170347401,146.09811295576048,144.2897895123493,146.60476190476192,125.725,1.0
2026-02-05 09:59:00,144.1,145.6,141.2,144.9,25650,146.56666666666666,157.326683801876,135.80664953145734,143.08249999999998,155.37908830251618,130.78591169748378,1.718019496677499,2.156295949734511,-0.438276453057012,50.95273703803471,50.15519395364152,145.8584903646084,144.34790479688746,146.56071428571428,125.725,1.0
2026-02-05 10:00:00,145.05,149.2,143.0,147.05,25650,146.42777777777778,157.14924427028703,135.70631128526853,144.10250000000002,154.99420155801872,133.21079844198132,1.7077013774203067,2.0067644256297763,-0.2990630482094696,52.413673169963886,52.37962043798594,146.09679229168674,144.60524719718387,146.7488095238095,125.725,1.0
2026-02-05 10:01:00,147.15,150.8,142.8,150.8,25650,146.36111111111111,157.00825714889976,135.71396507332247,145.16500000000002,154.97258601395126,135.35741398604878,2.1583309622400293,2.057286604499861,0.1010443577401685,54.9350229515314,56.21386726053221,147.0374338333494,145.1952236545949,146.9690476190476,125.725,1.0
2026-02-05 10:02:00,150.15,153.2,147.35,152.2,25650,146.60555555555555,157.51769758863037,135.69341352248074,146.1675,155.08993798919622,137.24506201080376,2.617193679542055,2.2439222961805925,0.3732713833614625,55.87499965192898,57.64615204173484,148.06994706667953,145.86234521130018,147.0309523809524,125.725,1.0
