DateTime,Open,High,Low,Close,Strike
2025-09-24 09:30,82.60,91.85,82.60,91.70,25050
2025-09-24 09:31,91.80,92.90,83.40,83.60,25050
2025-09-24 09:32,102.50,103.60,99.00,99.60,25100
2025-09-24 09:33,81.00,85.00,81.00,84.25,25050
2025-09-24 09:34,84.15,85.70,82.35,84.75,25050
2025-09-24 09:35,84.60,85.65,82.60,84.00,25050
2025-09-24 09:36,84.15,85.95,80.60,85.95,25050
2025-09-24 09:37,106.40,107.00,100.65,102.15,25100
2025-09-24 09:38,102.10,103.40,100.50,101.20,25100
2025-09-24 09:39,81.00,82.55,79.75,82.50,25050
2025-09-24 09:40,83.50,85.80,83.50,85.45,25050
2025-09-24 09:41,85.10,88.55,84.10,85.30,25050
2025-09-24 09:42,85.10,92.65,85.00,92.25,25050
2025-09-24 09:43,92.25,93.00,86.25,89.00,25050
2025-09-24 09:44,89.00,91.25,86.20,86.90,25050
2025-09-24 09:45,87.20,91.00,87.20,90.45,25050
2025-09-24 09:46,90.30,91.40,84.45,85.00,25050
2025-09-24 09:47,85.40,86.80,82.85,84.75,25050
2025-09-24 09:48,105.55,105.80,101.00,102.40,25100
2025-09-24 09:49,102.00,103.85,100.40,102.15,25100
2025-09-24 09:50,102.25,104.20,100.65,102.30,25100
2025-09-24 09:51,102.40,104.00,100.55,100.90,25100
2025-09-24 09:52,101.05,101.60,98.60,100.20,25100
2025-09-24 09:53,100.50,102.50,99.10,100.25,25100
2025-09-24 09:54,100.60,101.70,98.50,101.65,25100
2025-09-24 09:55,101.85,101.85,96.60,97.05,25100
2025-09-24 09:56,97.05,98.95,95.60,96.35,25100
2025-09-24 09:57,96.80,97.20,93.80,94.20,25100
2025-09-24 09:58,94.30,95.55,92.85,94.85,25100
2025-09-24 09:59,95.45,95.45,92.00,92.30,25100
2025-09-24 10:00,92.00,94.30,91.60,93.00,25100
2025-09-24 10:01,92.95,95.50,91.00,93.55,25100
2025-09-24 10:02,94.10,96.25,93.65,96.25,25100
2025-09-24 10:03,96.05,96.70,88.50,88.50,25100
2025-09-24 10:04,88.75,88.80,86.65,87.95,25100
2025-09-24 10:05,87.90,87.90,85.80,86.35,25100
2025-09-24 10:06,86.65,87.30,84.30,86.65,25100
2025-09-24 10:07,86.85,87.40,84.95,86.70,25100
2025-09-24 10:08,87.35,87.65,85.15,85.70,25100
2025-09-24 10:09,85.80,86.25,84.35,85.45,25100
2025-09-24 10:10,85.80,89.75,85.30,85.45,25100
2025-09-24 10:11,85.00,88.15,82.70,88.15,25100
2025-09-24 10:12,86.50,90.65,86.05,90.60,25100
2025-09-24 10:13,90.20,91.90,89.30,90.35,25100
2025-09-24 10:14,90.20,92.30,88.70,91.50,25100
2025-09-24 10:15,91.30,91.90,88.15,88.55,25100
2025-09-24 10:16,88.70,89.50,85.20,85.30,25100
2025-09-24 10:17,84.65,85.00,80.45,85.00,25100
2025-09-24 10:18,84.20,85.30,82.65,84.45,25100
2025-09-24 10:19,84.70,86.30,83.95,84.05,25100
2025-09-24 10:20,84.15,85.50,83.25,83.70,25100
2025-09-24 10:21,84.20,84.25,82.40,84.00,25100
2025-09-24 10:22,83.75,85.30,82.70,83.25,25100
2025-09-24 10:23,83.65,86.60,82.95,86.50,25100
2025-09-24 10:24,86.50,87.80,85.25,87.80,25100
2025-09-24 10:25,88.20,88.45,85.15,85.70,25100
2025-09-24 10:26,85.70,86.10,84.60,85.95,25100
2025-09-24 10:27,85.85,87.60,84.85,86.50,25100
2025-09-24 10:28,86.60,89.10,86.15,87.55,25100
2025-09-24 10:29,87.45,90.00,86.60,89.10,25100
2025-09-24 10:30,89.30,90.25,85.40,86.25,25100
2025-09-24 10:31,86.15,88.50,85.20,85.55,25100
2025-09-24 10:32,85.60,87.90,85.05,86.80,25100
2025-09-24 10:33,87.10,91.90,87.10,91.50,25100
2025-09-24 10:34,90.80,90.80,88.20,89.75,25100
2025-09-24 10:35,90.20,91.80,87.80,88.00,25100
2025-09-24 10:36,88.10,90.00,88.10,89.40,25100
2025-09-24 10:37,89.75,91.40,89.25,90.45,25100
2025-09-24 10:38,90.40,91.60,89.40,89.95,25100
2025-09-24 10:39,89.85,91.20,88.90,88.90,25100
2025-09-24 10:40,89.10,90.85,87.70,90.70,25100
2025-09-24 10:41,90.75,93.40,90.65,92.95,25100
2025-09-24 10:42,93.70,95.15,92.55,94.50,25100
2025-09-24 10:43,94.40,97.95,93.65,97.00,25100
2025-09-24 10:44,97.10,98.30,96.45,97.65,25100
2025-09-24 10:45,78.40,80.40,77.90,79.85,25050
2025-09-24 10:46,79.90,80.40,78.45,79.50,25050
2025-09-24 10:47,79.45,81.15,79.15,80.30,25050
2025-09-24 10:48,100.85,102.25,98.15,98.80,25100
2025-09-24 10:49,78.45,81.80,78.40,80.60,25050
2025-09-24 10:50,80.80,81.70,79.20,79.80,25050
2025-09-24 10:51,79.85,80.90,77.05,79.20,25050
2025-09-24 10:52,79.10,80.30,78.40,78.45,25050
2025-09-24 10:53,78.45,80.20,76.85,80.15,25050
2025-09-24 10:54,80.10,82.20,80.10,81.95,25050
2025-09-24 10:55,81.90,83.30,81.55,82.45,25050
2025-09-24 10:56,82.10,82.30,79.15,79.60,25050
2025-09-24 10:57,79.40,80.55,78.25,80.00,25050
2025-09-24 10:58,99.90,101.00,96.70,96.90,25100
2025-09-24 10:59,97.15,98.10,95.75,95.75,25100
