DateTime,Open,High,Low,Close
2024-06-28 09:30,24131.95,24136.00,24120.50,24121.45
2024-06-28 09:31,24121.20,24122.55,24115.20,24122.35
2024-06-28 09:32,24123.20,24131.40,24120.15,24121.25
2024-06-28 09:33,24121.10,24125.35,24115.30,24125.15
2024-06-28 09:34,24125.55,24127.30,24117.70,24120.85
2024-06-28 09:35,24123.05,24123.80,24109.35,24116.90
2024-06-28 09:36,24117.05,24121.45,24111.90,24118.35
2024-06-28 09:37,24117.35,24131.05,24117.35,24130.10
2024-06-28 09:38,24130.00,24136.15,24122.90,24135.70
2024-06-28 09:39,24135.35,24147.55,24135.35,24143.10
2024-06-28 09:40,24144.35,24158.80,24142.55,24156.25
2024-06-28 09:41,24155.35,24167.10,24151.80,24165.35
2024-06-28 09:42,24165.45,24172.45,24160.20,24161.90
2024-06-28 09:43,24161.35,24163.30,24144.80,24150.20
2024-06-28 09:44,24151.15,24157.10,24148.30,24155.45
2024-06-28 09:45,24155.00,24157.05,24148.95,24148.95
2024-06-28 09:46,24149.40,24155.80,24143.85,24154.60
2024-06-28 09:47,24155.65,24161.25,24154.70,24161.25
2024-06-28 09:48,24161.20,24163.40,24154.20,24156.65
2024-06-28 09:49,24157.20,24158.85,24147.60,24158.85
2024-06-28 09:50,24158.60,24164.35,24154.85,24156.10
2024-06-28 09:51,24155.75,24156.60,24149.60,24155.50
2024-06-28 09:52,24154.30,24165.20,24152.60,24160.25
2024-06-28 09:53,24161.15,24164.60,24157.40,24158.90
2024-06-28 09:54,24158.40,24162.90,24155.35,24159.90
2024-06-28 09:55,24158.90,24161.70,24155.15,24160.35
2024-06-28 09:56,24159.55,24171.90,24158.95,24169.30
2024-06-28 09:57,24168.95,24171.45,24158.70,24158.90
2024-06-28 09:58,24157.40,24157.40,24126.30,24143.65
2024-06-28 09:59,24144.65,24158.35,24135.15,24135.65
2024-06-28 10:00,24134.45,24144.20,24132.45,24138.30
2024-06-28 10:01,24137.95,24151.85,24137.25,24148.35
2024-06-28 10:02,24149.30,24151.10,24141.55,24143.10
2024-06-28 10:03,24143.90,24144.90,24137.00,24138.50
2024-06-28 10:04,24137.85,24141.95,24128.05,24128.05
2024-06-28 10:05,24128.95,24136.80,24126.95,24133.80
2024-06-28 10:06,24134.25,24139.15,24132.30,24134.15
