DateTime,Open,High,Low,Close
2025-01-21 09:30,23413.80,23417.40,23413.00,23416.20
2025-01-21 09:31,23416.80,23419.30,23379.35,23379.35
2025-01-21 09:32,23379.25,23386.35,23366.50,23375.50
2025-01-21 09:33,23375.75,23386.75,23369.00,23380.55
2025-01-21 09:34,23377.35,23377.35,23355.95,23359.15
2025-01-21 09:35,23359.25,23367.65,23354.95,23364.30
2025-01-21 09:36,23361.80,23370.35,23347.70,23369.65
2025-01-21 09:37,23369.30,23369.65,23336.00,23343.45
2025-01-21 09:38,23344.35,23352.50,23342.70,23352.15
2025-01-21 09:39,23351.75,23352.90,23337.70,23342.85
2025-01-21 09:40,23343.35,23352.75,23339.55,23350.85
2025-01-21 09:41,23352.05,23367.80,23351.30,23365.15
2025-01-21 09:42,23365.45,23365.55,23346.25,23349.20
2025-01-21 09:43,23348.60,23354.50,23344.25,23344.90
2025-01-21 09:44,23345.75,23348.30,23339.15,23340.25
2025-01-21 09:45,23340.10,23350.55,23327.85,23345.95
2025-01-21 09:46,23346.30,23349.75,23315.60,23317.05
2025-01-21 09:47,23318.90,23331.75,23315.00,23330.00
2025-01-21 09:48,23330.25,23344.30,23330.25,23338.05
2025-01-21 09:49,23338.10,23348.05,23331.35,23348.05
2025-01-21 09:50,23347.60,23357.80,23347.60,23349.90
2025-01-21 09:51,23350.50,23351.75,23338.75,23346.55
2025-01-21 09:52,23345.95,23351.15,23341.75,23342.60
2025-01-21 09:53,23342.60,23355.50,23341.95,23353.40
2025-01-21 09:54,23353.80,23360.35,23343.95,23344.55
2025-01-21 09:55,23344.45,23352.70,23340.50,23342.10
2025-01-21 09:56,23342.60,23347.85,23337.90,23338.80
2025-01-21 09:57,23338.45,23338.45,23282.60,23297.15
2025-01-21 09:58,23297.65,23309.35,23294.40,23300.95
2025-01-21 09:59,23301.75,23309.25,23299.75,23301.80
2025-01-21 10:00,23299.15,23303.70,23278.95,23284.50
2025-01-21 10:01,23282.30,23292.05,23273.95,23290.25
2025-01-21 10:02,23291.50,23300.35,23281.30,23288.25
2025-01-21 10:03,23287.90,23295.10,23285.05,23288.40
2025-01-21 10:04,23287.35,23289.75,23284.00,23287.70
2025-01-21 10:05,23287.60,23296.95,23275.70,23284.20
2025-01-21 10:06,23283.70,23287.30,23281.85,23284.00
2025-01-21 10:07,23284.75,23284.75,23260.95,23262.65
2025-01-21 10:08,23263.10,23265.60,23255.60,23255.85
2025-01-21 10:09,23258.30,23269.10,23257.30,23262.95
2025-01-21 10:10,23263.50,23272.15,23258.85,23269.40
2025-01-21 10:11,23270.00,23274.35,23264.15,23271.75
2025-01-21 10:12,23270.45,23270.45,23247.70,23263.85
2025-01-21 10:13,23264.15,23266.15,23261.25,23264.30
2025-01-21 10:14,23264.95,23272.30,23262.35,23266.00
2025-01-21 10:15,23266.40,23266.60,23249.20,23249.20
2025-01-21 10:16,23250.55,23250.80,23232.05,23232.05
2025-01-21 10:17,23231.50,23237.00,23229.15,23235.35
2025-01-21 10:18,23235.90,23237.40,23229.55,23229.55
2025-01-21 10:19,23230.55,23230.60,23216.25,23228.60
2025-01-21 10:20,23227.65,23227.65,23215.90,23221.50
2025-01-21 10:21,23221.60,23221.60,23172.40,23173.55
