DateTime,Open,High,Low,Close,Strike,DTE,weekday
2024-06-13 09:30,67.25,70.75,66.05,67.40,23400,0,4
2024-06-13 09:31,66.80,67.35,61.35,62.00,23400,0,4
2024-06-13 09:32,62.05,66.95,58.75,66.55,23400,0,4
2024-06-13 09:33,65.95,67.40,59.65,62.10,23400,0,4
2024-06-13 09:34,62.20,68.00,60.35,64.10,23400,0,4
2024-06-13 09:35,63.35,67.05,57.35,58.80,23400,0,4
2024-06-13 09:36,58.90,61.00,55.30,55.45,23400,0,4
2024-06-13 09:37,54.50,59.25,53.25,57.75,23400,0,4
2024-06-13 09:38,57.75,59.75,51.35,53.35,23400,0,4
2024-06-13 09:39,53.20,56.20,48.30,49.50,23400,0,4
2024-06-13 09:40,49.05,51.55,47.70,50.70,23400,0,4
2024-06-13 09:41,49.05,49.95,46.40,48.15,23400,0,4
2024-06-13 09:42,48.00,52.90,46.80,51.45,23400,0,4
2024-06-13 09:43,50.80,50.85,46.00,46.50,23400,0,4
2024-06-13 09:44,46.65,47.60,44.00,44.60,23400,0,4
2024-06-13 09:45,44.20,47.25,42.80,45.90,23400,0,4
2024-06-13 09:46,46.30,46.30,40.05,41.50,23400,0,4
2024-06-13 09:47,65.65,65.65,61.00,61.40,23350,0,4
2024-06-13 09:48,61.60,65.70,60.15,62.50,23350,0,4
2024-06-13 09:49,39.05,42.80,38.70,42.75,23400,0,4
2024-06-13 09:50,42.75,45.55,41.45,41.50,23400,0,4
2024-06-13 09:51,66.00,66.00,60.50,64.30,23350,0,4
2024-06-13 09:52,40.55,47.55,40.30,46.35,23400,0,4
2024-06-13 09:53,46.15,46.20,39.95,39.95,23400,0,4
2024-06-13 09:54,64.70,65.40,58.30,58.30,23350,0,4
2024-06-13 09:55,58.20,62.95,57.60,60.65,23350,0,4
2024-06-13 09:56,38.35,48.25,38.15,44.70,23400,0,4
2024-06-13 09:57,44.45,47.45,42.30,44.55,23400,0,4
2024-06-13 09:58,44.85,45.50,42.50,44.00,23400,0,4
2024-06-13 09:59,43.80,49.65,42.50,47.40,23400,0,4
2024-06-13 10:00,47.55,48.55,44.45,45.95,23400,0,4
2024-06-13 10:01,46.40,51.55,46.40,48.65,23400,0,4
2024-06-13 10:02,49.00,49.40,40.15,40.45,23400,0,4
2024-06-13 10:03,40.25,41.90,37.80,40.85,23400,0,4
2024-06-13 10:04,41.25,43.10,39.30,40.95,23400,0,4
2024-06-13 10:05,41.25,41.60,38.50,39.45,23400,0,4
2024-06-13 10:06,39.80,41.20,37.75,38.60,23400,0,4
2024-06-13 10:07,38.80,38.90,28.65,31.20,23400,0,4
2024-06-13 10:08,31.15,33.00,30.50,33.00,23400,0,4
2024-06-13 10:09,33.00,40.35,32.90,39.95,23400,0,4
2024-06-13 10:10,40.65,44.50,36.35,37.90,23400,0,4
2024-06-13 10:11,37.95,43.00,37.95,38.95,23400,0,4
2024-06-13 10:12,39.40,40.10,34.95,36.25,23400,0,4
2024-06-13 10:13,36.50,40.75,35.80,40.50,23400,0,4
2024-06-13 10:14,41.25,43.55,40.40,42.10,23400,0,4
2024-06-13 10:15,42.00,42.90,39.70,39.85,23400,0,4
2024-06-13 10:16,39.35,39.85,36.15,36.45,23400,0,4
2024-06-13 10:17,36.10,44.20,36.05,42.00,23400,0,4
2024-06-13 10:18,42.35,42.80,32.15,35.00,23400,0,4
2024-06-13 10:19,34.85,37.55,33.95,36.65,23400,0,4
2024-06-13 10:20,36.85,36.95,34.50,34.70,23400,0,4
2024-06-13 10:21,35.05,37.95,34.65,37.60,23400,0,4
2024-06-13 10:22,38.40,38.40,30.50,31.45,23400,0,4
2024-06-13 10:23,31.30,32.10,27.90,29.80,23400,0,4
2024-06-13 10:24,29.70,32.45,29.30,31.65,23400,0,4
2024-06-13 10:25,31.95,33.35,31.30,32.40,23400,0,4
2024-06-13 10:26,32.15,32.15,29.40,31.60,23400,0,4
2024-06-13 10:27,31.30,32.20,29.35,29.65,23400,0,4
2024-06-13 10:28,29.60,29.60,24.45,26.55,23400,0,4
2024-06-13 10:29,26.55,27.40,24.30,25.00,23400,0,4
2024-06-13 10:30,25.20,26.85,24.15,26.80,23400,0,4
2024-06-13 10:31,26.40,28.30,25.65,27.50,23400,0,4
2024-06-13 10:32,27.45,28.40,24.25,25.30,23400,0,4
2024-06-13 10:33,25.30,29.65,25.10,28.55,23400,0,4
2024-06-13 10:34,28.45,28.55,26.55,27.45,23400,0,4
2024-06-13 10:35,27.65,29.85,27.25,28.75,23400,0,4
2024-06-13 10:36,28.50,28.75,26.70,27.60,23400,0,4
2024-06-13 10:37,27.70,29.05,26.70,27.70,23400,0,4
2024-06-13 10:38,28.15,28.20,26.70,27.15,23400,0,4
2024-06-13 10:39,27.15,27.60,26.20,27.10,23400,0,4
2024-06-13 10:40,26.95,28.35,26.20,27.70,23400,0,4
2024-06-13 10:41,27.65,31.55,27.50,31.45,23400,0,4
2024-06-13 10:42,31.25,31.25,27.95,28.00,23400,0,4
2024-06-13 10:43,28.05,28.35,24.60,25.60,23400,0,4
2024-06-13 10:44,25.65,26.40,24.95,25.00,23400,0,4
2024-06-13 10:45,25.20,27.50,24.10,26.85,23400,0,4
2024-06-13 10:46,26.70,26.75,24.55,24.90,23400,0,4
2024-06-13 10:47,24.95,25.50,22.50,23.70,23400,0,4
2024-06-13 10:48,23.55,23.85,22.75,22.85,23400,0,4
2024-06-13 10:49,23.05,23.30,22.05,22.85,23400,0,4
2024-06-13 10:50,22.95,24.55,22.80,24.15,23400,0,4
2024-06-13 10:51,24.10,24.35,22.40,23.50,23400,0,4
2024-06-13 10:52,23.60,23.85,22.25,22.70,23400,0,4
2024-06-13 10:53,22.70,23.75,22.30,22.55,23400,0,4
