DateTime,Open,High,Low,Close,Strike
2025-09-30 09:30,37.35,45.90,34.80,44.75,24650
2025-09-30 09:31,44.65,45.15,40.15,41.15,24650
2025-09-30 09:32,41.15,44.25,35.95,36.60,24650
2025-09-30 09:33,59.65,62.65,51.00,51.00,24700
2025-09-30 09:34,50.80,61.35,48.90,61.00,24700
2025-09-30 09:35,38.80,42.55,37.20,42.25,24650
2025-09-30 09:36,42.20,45.50,42.20,44.50,24650
2025-09-30 09:37,44.60,44.75,41.80,41.80,24650
2025-09-30 09:38,42.05,42.10,37.35,39.00,24650
2025-09-30 09:39,40.05,47.90,40.05,46.90,24650
2025-09-30 09:40,46.50,49.20,43.85,46.80,24650
2025-09-30 09:41,46.75,51.75,46.65,49.35,24650
2025-09-30 09:42,49.80,49.80,43.65,47.25,24650
2025-09-30 09:43,47.50,47.50,40.60,42.00,24650
2025-09-30 09:44,40.95,48.95,40.30,48.90,24650
2025-09-30 09:45,49.05,55.65,49.05,53.00,24650
2025-09-30 09:46,52.80,53.20,48.90,51.85,24650
2025-09-30 09:47,51.95,52.05,46.35,47.90,24650
2025-09-30 09:48,47.80,49.25,43.65,46.05,24650
2025-09-30 09:49,46.10,46.35,42.15,42.45,24650
2025-09-30 09:50,41.55,45.50,40.75,44.70,24650
2025-09-30 09:51,44.30,48.65,43.40,48.50,24650
2025-09-30 09:52,47.65,48.20,42.95,43.05,24650
2025-09-30 09:53,43.25,47.30,43.05,45.95,24650
2025-09-30 09:54,44.80,47.75,43.70,47.40,24650
2025-09-30 09:55,47.40,49.55,46.50,48.95,24650
2025-09-30 09:56,49.05,50.10,46.25,48.55,24650
2025-09-30 09:57,48.75,48.75,44.35,46.15,24650
2025-09-30 09:58,45.40,46.20,42.80,46.20,24650
2025-09-30 09:59,46.10,47.20,43.20,44.35,24650
2025-09-30 10:00,44.10,44.90,41.90,42.85,24650
2025-09-30 10:01,68.25,69.00,56.55,60.00,24700
2025-09-30 10:02,58.55,61.85,54.75,59.95,24700
2025-09-30 10:03,36.25,45.80,35.80,45.80,24650
2025-09-30 10:04,46.05,46.05,38.00,40.20,24650
2025-09-30 10:05,38.20,43.50,36.65,43.50,24650
2025-09-30 10:06,42.75,48.40,42.75,48.00,24650
2025-09-30 10:07,47.75,48.05,40.15,46.75,24650
2025-09-30 10:08,46.60,48.70,45.50,47.55,24650
2025-09-30 10:09,48.30,51.85,47.35,49.95,24650
2025-09-30 10:10,50.70,53.50,49.80,52.55,24650
2025-09-30 10:11,53.85,54.30,48.00,52.30,24650
2025-09-30 10:12,52.35,55.95,49.20,49.50,24650
2025-09-30 10:13,49.05,53.05,48.65,52.85,24650
2025-09-30 10:14,53.75,55.10,50.70,50.70,24650
2025-09-30 10:15,50.90,53.25,50.10,50.45,24650
2025-09-30 10:16,49.50,52.00,48.65,48.65,24650
2025-09-30 10:17,48.65,52.30,48.65,51.15,24650
2025-09-30 10:18,51.15,52.50,44.65,45.30,24650
2025-09-30 10:19,45.05,49.00,45.05,45.75,24650
2025-09-30 10:20,45.65,51.80,45.65,50.25,24650
2025-09-30 10:21,50.00,50.70,46.95,48.45,24650
2025-09-30 10:22,48.20,49.30,44.65,44.65,24650
2025-09-30 10:23,44.65,48.60,42.00,48.00,24650
2025-09-30 10:24,48.10,49.30,46.60,47.80,24650
2025-09-30 10:25,47.40,50.15,46.35,48.60,24650
2025-09-30 10:26,49.40,56.40,49.40,56.40,24650
2025-09-30 10:27,34.20,37.80,34.20,36.65,24600
2025-09-30 10:28,37.45,37.45,35.35,37.30,24600
2025-09-30 10:29,37.45,37.55,33.25,35.35,24600
2025-09-30 10:30,35.50,36.75,33.10,33.65,24600
2025-09-30 10:31,33.70,36.10,32.35,34.70,24600
2025-09-30 10:32,35.15,37.10,34.10,35.55,24600
2025-09-30 10:33,35.80,37.05,34.10,34.60,24600
2025-09-30 10:34,58.30,60.40,57.45,59.00,24650
2025-09-30 10:35,34.85,36.60,34.85,35.30,24600
2025-09-30 10:36,35.40,48.90,34.70,48.65,24600
2025-09-30 10:37,47.90,49.35,46.05,49.05,24600
2025-09-30 10:38,49.05,54.55,47.55,52.05,24600
2025-09-30 10:39,51.80,52.35,48.05,50.35,24600
2025-09-30 10:40,50.40,54.05,48.45,52.90,24600
2025-09-30 10:41,53.55,53.55,45.65,46.05,24600
2025-09-30 10:42,45.45,47.65,41.40,41.40,24600
2025-09-30 10:43,41.10,41.30,38.05,40.70,24600
2025-09-30 10:44,40.80,42.80,40.15,40.40,24600
2025-09-30 10:45,40.30,44.90,39.05,43.35,24600
2025-09-30 10:46,43.25,43.75,40.90,43.35,24600
2025-09-30 10:47,42.70,43.50,40.35,41.15,24600
2025-09-30 10:48,40.75,42.40,38.70,41.80,24600
2025-09-30 10:49,42.10,46.80,41.80,46.10,24600
2025-09-30 10:50,46.05,46.20,41.70,42.40,24600
2025-09-30 10:51,41.80,44.25,41.55,42.10,24600
2025-09-30 10:52,42.25,43.35,39.40,41.60,24600
2025-09-30 10:53,41.70,42.15,37.80,39.15,24600
2025-09-30 10:54,63.90,64.15,59.40,60.80,24650
2025-09-30 10:55,60.30,62.35,51.20,51.90,24650
2025-09-30 10:56,51.75,52.15,47.95,51.65,24650
2025-09-30 10:57,51.70,55.35,50.30,53.70,24650
2025-09-30 10:58,55.35,56.30,51.10,55.00,24650
2025-09-30 10:59,54.55,55.25,52.70,54.00,24650
2025-09-30 11:00,53.40,54.65,41.35,46.10,24650
2025-09-30 11:01,44.85,46.05,39.65,40.05,24650
2025-09-30 11:02,39.45,42.30,38.90,41.55,24650
2025-09-30 11:03,40.90,43.25,38.15,42.05,24650
2025-09-30 11:04,42.30,43.40,40.70,40.70,24650
2025-09-30 11:05,40.40,43.55,40.25,42.80,24650
2025-09-30 11:06,42.55,43.00,35.35,35.35,24650
2025-09-30 11:07,35.60,41.90,35.60,40.35,24650
2025-09-30 11:08,40.00,41.35,38.80,40.35,24650
2025-09-30 11:09,40.30,40.90,36.90,37.60,24650
2025-09-30 11:10,37.40,38.90,36.00,36.40,24650
2025-09-30 11:11,36.00,38.00,34.10,37.80,24650
2025-09-30 11:12,37.80,38.85,35.30,36.30,24650
2025-09-30 11:13,35.90,37.35,35.55,36.05,24650
2025-09-30 11:14,35.75,37.75,34.70,37.25,24650
2025-09-30 11:15,37.20,39.75,35.75,38.70,24650
2025-09-30 11:16,39.00,40.00,36.75,39.90,24650
2025-09-30 11:17,39.70,41.50,38.80,40.80,24650
2025-09-30 11:18,41.25,41.95,39.00,40.40,24650
2025-09-30 11:19,39.45,39.95,32.95,34.35,24650
2025-09-30 11:20,60.10,60.10,44.45,49.70,24700
2025-09-30 11:21,27.75,33.45,27.75,31.45,24650
2025-09-30 11:22,30.90,39.60,30.30,39.60,24650
2025-09-30 11:23,42.95,46.15,39.80,42.90,24650
2025-09-30 11:24,43.20,43.90,41.60,43.70,24650
2025-09-30 11:25,43.70,51.15,43.70,47.70,24650
2025-09-30 11:26,48.40,50.35,45.75,48.90,24650
2025-09-30 11:27,48.35,48.90,44.75,46.75,24650
2025-09-30 11:28,44.60,45.15,41.20,41.85,24650
2025-09-30 11:29,43.10,43.30,37.40,37.95,24650
2025-09-30 11:30,37.15,39.65,34.95,39.30,24650
2025-09-30 11:31,40.45,42.30,31.80,33.25,24650
2025-09-30 11:32,33.15,35.35,31.75,34.00,24650
2025-09-30 11:33,33.90,36.75,33.75,35.40,24650
2025-09-30 11:34,35.35,36.50,33.85,33.85,24650
2025-09-30 11:35,34.00,34.50,30.75,31.55,24650
2025-09-30 11:36,31.00,31.00,26.70,29.05,24650
2025-09-30 11:37,29.10,32.15,29.10,32.15,24650
2025-09-30 11:38,32.30,32.70,30.10,32.40,24650
2025-09-30 11:39,32.25,35.20,31.20,35.15,24650
2025-09-30 11:40,35.30,40.45,34.40,40.35,24650
2025-09-30 11:41,41.15,41.65,36.45,38.75,24650
2025-09-30 11:42,39.05,41.30,37.90,40.20,24650
2025-09-30 11:43,39.65,40.80,38.55,40.40,24650
2025-09-30 11:44,40.40,44.00,40.40,42.90,24650
2025-09-30 11:45,43.10,44.15,39.95,41.95,24650
2025-09-30 11:46,41.95,43.75,41.10,42.10,24650
2025-09-30 11:47,42.30,42.80,38.80,40.15,24650
2025-09-30 11:48,39.70,39.70,35.15,38.10,24650
2025-09-30 11:49,37.80,40.75,37.80,40.70,24650
2025-09-30 11:50,40.60,40.85,36.85,38.70,24650
2025-09-30 11:51,38.75,41.40,37.80,41.05,24650
2025-09-30 11:52,40.85,45.40,40.55,44.75,24650
2025-09-30 11:53,44.35,48.30,42.15,42.15,24650
2025-09-30 11:54,41.70,46.30,40.60,44.45,24650
2025-09-30 11:55,45.00,49.90,45.00,46.05,24650
2025-09-30 11:56,45.60,48.50,45.60,46.95,24650
2025-09-30 11:57,47.95,48.55,44.55,44.55,24650
2025-09-30 11:58,45.05,49.35,44.90,47.80,24650
2025-09-30 11:59,48.00,49.20,44.85,45.65,24650
2025-09-30 12:00,45.75,49.20,44.10,48.35,24650
