DateTime,Open,High,Low,Close
2025-07-28 09:30,24784.05,24802.90,24784.05,24802.90
2025-07-28 09:31,24803.70,24818.70,24803.70,24818.65
2025-07-28 09:32,24818.15,24827.25,24818.15,24822.75
2025-07-28 09:33,24823.40,24828.90,24819.95,24826.00
2025-07-28 09:34,24824.15,24853.10,24824.15,24844.65
2025-07-28 09:35,24843.30,24851.50,24833.95,24838.10
2025-07-28 09:36,24839.30,24841.65,24832.40,24840.25
2025-07-28 09:37,24840.85,24841.55,24824.45,24832.90
2025-07-28 09:38,24833.75,24838.60,24827.45,24828.55
2025-07-28 09:39,24826.75,24829.40,24822.35,24826.00
2025-07-28 09:40,24825.70,24827.10,24820.05,24822.15
2025-07-28 09:41,24821.65,24821.65,24796.65,24802.00
2025-07-28 09:42,24802.20,24810.25,24801.45,24806.15
2025-07-28 09:43,24805.05,24805.95,24787.70,24789.20
2025-07-28 09:44,24789.95,24791.90,24785.05,24785.05
2025-07-28 09:45,24783.20,24798.50,24781.15,24793.75
2025-07-28 09:46,24794.10,24807.90,24789.50,24790.60
2025-07-28 09:47,24790.85,24803.80,24788.60,24803.80
2025-07-28 09:48,24802.55,24806.10,24800.45,24801.90
2025-07-28 09:49,24802.40,24815.65,24794.50,24812.75
2025-07-28 09:50,24813.75,24814.90,24805.65,24813.00
2025-07-28 09:51,24814.05,24827.00,24812.50,24821.60
2025-07-28 09:52,24821.45,24821.45,24810.30,24812.00
2025-07-28 09:53,24813.05,24822.65,24811.40,24814.65
2025-07-28 09:54,24813.65,24813.65,24806.60,24812.10
2025-07-28 09:55,24812.30,24824.70,24807.25,24807.40
2025-07-28 09:56,24807.15,24807.25,24798.25,24804.40
2025-07-28 09:57,24804.10,24805.10,24799.50,24802.25
2025-07-28 09:58,24800.50,24804.25,24798.40,24801.10
2025-07-28 09:59,24801.10,24803.80,24794.80,24802.85
2025-07-28 10:00,24802.25,24809.55,24802.25,24804.00
2025-07-28 10:01,24803.90,24811.80,24802.60,24810.50
2025-07-28 10:02,24810.10,24818.80,24809.05,24817.10
2025-07-28 10:03,24816.20,24816.20,24808.25,24811.10
2025-07-28 10:04,24811.35,24816.40,24810.05,24816.05
2025-07-28 10:05,24816.50,24817.60,24811.10,24811.10
2025-07-28 10:06,24811.40,24819.45,24809.55,24818.75
2025-07-28 10:07,24819.15,24823.20,24817.90,24820.20
2025-07-28 10:08,24819.70,24821.70,24815.80,24821.55
2025-07-28 10:09,24821.00,24828.60,24818.50,24827.05
2025-07-28 10:10,24828.00,24833.70,24827.05,24827.20
2025-07-28 10:11,24827.25,24832.30,24823.65,24832.30
2025-07-28 10:12,24831.75,24840.45,24830.60,24835.40
2025-07-28 10:13,24835.60,24838.80,24831.95,24836.85
2025-07-28 10:14,24836.80,24844.25,24833.20,24844.25
2025-07-28 10:15,24844.10,24875.90,24844.10,24871.45
2025-07-28 10:16,24870.80,24875.30,24868.35,24874.45
2025-07-28 10:17,24875.10,24877.25,24870.60,24873.00
2025-07-28 10:18,24873.80,24876.45,24869.95,24871.85
2025-07-28 10:19,24870.80,24874.55,24863.95,24866.30
2025-07-28 10:20,24865.55,24872.20,24864.40,24869.55
2025-07-28 10:21,24868.90,24877.85,24867.80,24876.50
2025-07-28 10:22,24876.65,24876.65,24865.55,24869.55
2025-07-28 10:23,24869.70,24874.80,24866.80,24873.75
2025-07-28 10:24,24874.80,24888.00,24872.60,24876.25
2025-07-28 10:25,24876.40,24876.40,24867.85,24873.80
2025-07-28 10:26,24874.05,24882.05,24873.50,24874.70
2025-07-28 10:27,24874.30,24880.80,24870.50,24880.00
2025-07-28 10:28,24879.50,24881.15,24874.90,24875.35
2025-07-28 10:29,24875.25,24877.10,24868.65,24870.90
2025-07-28 10:30,24871.90,24885.40,24871.45,24882.70
2025-07-28 10:31,24882.90,24883.95,24875.75,24875.75
2025-07-28 10:32,24875.75,24876.65,24868.30,24869.50
2025-07-28 10:33,24869.90,24869.90,24863.90,24866.70
2025-07-28 10:34,24866.90,24867.05,24861.60,24862.80
2025-07-28 10:35,24862.70,24864.45,24856.20,24856.75
2025-07-28 10:36,24857.55,24859.10,24846.05,24847.30
2025-07-28 10:37,24847.50,24851.70,24845.45,24849.85
2025-07-28 10:38,24848.60,24848.60,24831.80,24833.30
2025-07-28 10:39,24833.55,24841.50,24827.45,24828.30
2025-07-28 10:40,24826.95,24837.75,24826.95,24836.10
2025-07-28 10:41,24836.45,24838.60,24830.00,24830.50
2025-07-28 10:42,24831.10,24833.20,24815.55,24818.05
2025-07-28 10:43,24818.65,24824.65,24818.15,24820.75
2025-07-28 10:44,24822.15,24822.15,24814.75,24819.70
2025-07-28 10:45,24820.40,24820.40,24803.70,24808.60
2025-07-28 10:46,24810.55,24810.55,24775.40,24778.45
2025-07-28 10:47,24779.40,24788.15,24779.40,24784.45
2025-07-28 10:48,24783.65,24787.15,24775.80,24777.70
