DateTime,Open,High,Low,Close,Strike,DTE,weekday
2025-01-10 09:30,204.40,210.65,202.55,208.10,23500,6,5
2025-01-10 09:31,207.10,208.30,201.50,202.70,23500,6,5
2025-01-10 09:32,201.95,204.60,199.15,201.90,23500,6,5
2025-01-10 09:33,225.40,226.75,215.50,216.05,23450,6,5
2025-01-10 09:34,217.15,218.85,208.80,210.40,23450,6,5
2025-01-10 09:35,210.50,213.50,202.65,206.35,23450,6,5
2025-01-10 09:36,206.45,211.50,205.50,209.15,23450,6,5
2025-01-10 09:37,207.35,212.80,201.75,202.00,23450,6,5
2025-01-10 09:38,203.15,207.90,199.35,201.10,23450,6,5
2025-01-10 09:39,201.05,203.15,199.65,200.70,23450,6,5
2025-01-10 09:40,200.80,211.05,197.65,209.20,23450,6,5
2025-01-10 09:41,209.20,216.50,207.35,207.35,23450,6,5
2025-01-10 09:42,207.40,210.60,201.30,209.85,23450,6,5
2025-01-10 09:43,182.90,188.95,182.40,184.75,23500,6,5
2025-01-10 09:44,184.00,186.20,180.65,181.95,23500,6,5
2025-01-10 09:45,209.95,209.95,194.35,199.10,23450,6,5
2025-01-10 09:46,200.25,203.95,197.80,200.75,23450,6,5
2025-01-10 09:47,199.15,201.85,197.60,198.50,23450,6,5
2025-01-10 09:48,198.00,200.60,194.00,199.15,23450,6,5
2025-01-10 09:49,228.65,229.55,215.25,217.50,23400,6,5
2025-01-10 09:50,218.75,220.00,212.90,217.80,23400,6,5
2025-01-10 09:51,217.05,217.05,211.25,211.55,23400,6,5
2025-01-10 09:52,211.60,218.90,210.15,213.95,23400,6,5
2025-01-10 09:53,185.55,194.55,185.55,192.10,23450,6,5
2025-01-10 09:54,221.20,221.20,214.70,215.80,23400,6,5
2025-01-10 09:55,186.75,193.25,183.85,193.15,23450,6,5
2025-01-10 09:56,220.20,220.65,214.05,218.55,23400,6,5
2025-01-10 09:57,217.05,217.80,213.30,214.05,23400,6,5
2025-01-10 09:58,213.55,213.55,197.65,197.65,23400,6,5
2025-01-10 09:59,226.05,227.25,219.95,223.60,23350,6,5
2025-01-10 10:00,222.05,225.65,222.05,225.65,23350,6,5
2025-01-10 10:01,197.60,203.05,195.70,199.65,23400,6,5
2025-01-10 10:02,199.60,200.95,197.75,200.80,23400,6,5
2025-01-10 10:03,227.50,228.50,220.15,223.70,23350,6,5
2025-01-10 10:04,222.50,224.70,215.15,217.90,23350,6,5
2025-01-10 10:05,217.65,219.10,215.15,217.25,23350,6,5
2025-01-10 10:06,216.25,225.60,214.50,223.40,23350,6,5
2025-01-10 10:07,197.20,203.05,194.60,199.60,23400,6,5
2025-01-10 10:08,199.50,206.15,197.40,198.40,23400,6,5
2025-01-10 10:09,197.40,204.15,197.40,203.00,23400,6,5
2025-01-10 10:10,203.90,204.80,197.65,199.35,23400,6,5
2025-01-10 10:11,199.50,203.05,194.80,203.00,23400,6,5
2025-01-10 10:12,202.75,208.90,195.80,196.80,23400,6,5
2025-01-10 10:13,197.50,199.25,196.05,197.20,23400,6,5
2025-01-10 10:14,197.25,206.40,194.75,204.15,23400,6,5
2025-01-10 10:15,205.05,206.25,200.75,206.15,23400,6,5
2025-01-10 10:16,204.10,209.35,198.05,200.60,23400,6,5
2025-01-10 10:17,201.65,206.35,200.90,204.60,23400,6,5
2025-01-10 10:18,204.15,209.60,203.25,206.45,23400,6,5
2025-01-10 10:19,208.35,212.50,205.20,211.90,23400,6,5
2025-01-10 10:20,211.25,211.25,203.65,204.00,23400,6,5
2025-01-10 10:21,206.95,216.10,206.95,209.30,23400,6,5
