DateTime,Open,High,Low,Close
2025-06-16 09:30,24786.50,24788.70,24769.45,24770.40
2025-06-16 09:31,24770.75,24782.60,24768.55,24774.75
2025-06-16 09:32,24773.80,24791.65,24773.55,24777.00
2025-06-16 09:33,24776.25,24782.80,24768.95,24769.90
2025-06-16 09:34,24767.65,24773.15,24757.95,24760.00
2025-06-16 09:35,24761.70,24766.05,24755.20,24757.75
2025-06-16 09:36,24755.70,24761.20,24749.25,24750.55
2025-06-16 09:37,24750.60,24763.25,24750.55,24761.75
2025-06-16 09:38,24761.25,24774.45,24760.70,24772.20
2025-06-16 09:39,24772.65,24775.05,24756.60,24757.70
2025-06-16 09:40,24757.65,24767.45,24755.05,24761.50
2025-06-16 09:41,24760.50,24769.80,24754.60,24754.60
2025-06-16 09:42,24754.25,24764.60,24753.45,24760.85
2025-06-16 09:43,24761.00,24774.10,24760.25,24774.00
2025-06-16 09:44,24774.40,24775.20,24762.15,24765.00
2025-06-16 09:45,24767.30,24767.30,24754.25,24754.85
2025-06-16 09:46,24756.15,24756.15,24732.95,24734.65
2025-06-16 09:47,24734.75,24734.80,24722.05,24725.90
2025-06-16 09:48,24725.35,24725.35,24716.95,24718.25
2025-06-16 09:49,24716.65,24718.30,24706.50,24713.25
2025-06-16 09:50,24712.40,24722.45,24706.15,24718.90
2025-06-16 09:51,24718.60,24731.35,24717.50,24731.35
2025-06-16 09:52,24731.40,24743.75,24731.30,24740.50
2025-06-16 09:53,24740.00,24741.70,24732.10,24732.10
2025-06-16 09:54,24731.95,24733.90,24722.20,24725.40
2025-06-16 09:55,24724.60,24729.40,24721.20,24729.40
2025-06-16 09:56,24726.95,24736.70,24726.95,24731.40
2025-06-16 09:57,24731.15,24733.25,24724.90,24726.60
2025-06-16 09:58,24726.55,24735.90,24726.05,24727.00
2025-06-16 09:59,24726.85,24737.25,24725.55,24737.25
2025-06-16 10:00,24736.85,24738.55,24732.50,24736.80
2025-06-16 10:01,24736.30,24736.80,24727.90,24730.45
2025-06-16 10:02,24730.00,24732.10,24728.25,24729.40
2025-06-16 10:03,24729.00,24730.95,24726.05,24727.90
2025-06-16 10:04,24727.85,24737.10,24726.20,24736.90
2025-06-16 10:05,24736.85,24747.00,24736.45,24746.00
2025-06-16 10:06,24745.45,24753.80,24744.75,24748.95
2025-06-16 10:07,24748.75,24757.95,24748.65,24756.50
2025-06-16 10:08,24756.30,24769.65,24753.90,24767.60
2025-06-16 10:09,24767.00,24771.95,24761.60,24767.95
2025-06-16 10:10,24767.95,24771.00,24765.80,24766.90
2025-06-16 10:11,24766.60,24768.00,24763.70,24766.50
2025-06-16 10:12,24765.90,24766.65,24761.30,24765.15
2025-06-16 10:13,24765.40,24770.35,24762.40,24770.15
2025-06-16 10:14,24769.55,24770.10,24763.10,24763.70
2025-06-16 10:15,24763.60,24780.20,24763.25,24779.75
2025-06-16 10:16,24779.10,24783.40,24776.40,24778.55
2025-06-16 10:17,24778.25,24779.25,24772.65,24779.20
2025-06-16 10:18,24779.35,24784.20,24776.35,24783.35
