DateTime,Open,High,Low,Close
2025-08-11 09:30,24400.90,24406.75,24387.95,24388.35
2025-08-11 09:31,24388.60,24388.60,24361.40,24369.10
2025-08-11 09:32,24369.50,24384.15,24369.05,24383.85
2025-08-11 09:33,24381.80,24391.30,24379.45,24390.10
2025-08-11 09:34,24390.75,24419.90,24389.15,24418.15
2025-08-11 09:35,24417.85,24419.00,24407.80,24412.40
2025-08-11 09:36,24411.75,24414.95,24408.25,24413.60
2025-08-11 09:37,24411.95,24413.35,24394.30,24396.10
2025-08-11 09:38,24395.70,24395.95,24382.45,24388.05
2025-08-11 09:39,24388.05,24388.95,24372.90,24376.80
2025-08-11 09:40,24376.05,24379.20,24372.80,24376.90
2025-08-11 09:41,24378.45,24385.90,24373.40,24373.40
2025-08-11 09:42,24373.60,24378.55,24367.45,24371.15
2025-08-11 09:43,24371.45,24390.05,24371.45,24379.60
2025-08-11 09:44,24378.85,24381.25,24376.50,24381.25
2025-08-11 09:45,24381.00,24382.85,24375.35,24382.85
2025-08-11 09:46,24383.00,24384.55,24368.70,24372.70
2025-08-11 09:47,24373.00,24373.90,24365.80,24368.30
2025-08-11 09:48,24368.40,24372.60,24365.70,24365.80
2025-08-11 09:49,24366.55,24367.35,24356.15,24356.85
2025-08-11 09:50,24358.50,24373.00,24358.25,24367.50
2025-08-11 09:51,24367.65,24371.40,24365.40,24366.15
2025-08-11 09:52,24365.80,24370.75,24364.25,24369.80
2025-08-11 09:53,24369.75,24388.50,24369.60,24387.75
2025-08-11 09:54,24387.40,24396.35,24386.65,24395.50
2025-08-11 09:55,24396.00,24402.55,24394.40,24395.00
2025-08-11 09:56,24395.15,24398.70,24392.55,24397.55
2025-08-11 09:57,24397.60,24405.10,24397.60,24403.60
2025-08-11 09:58,24404.15,24405.65,24394.80,24395.75
2025-08-11 09:59,24395.40,24403.75,24394.65,24399.80
2025-08-11 10:00,24400.35,24411.30,24400.35,24410.75
2025-08-11 10:01,24411.20,24415.65,24411.15,24413.90
2025-08-11 10:02,24414.35,24414.80,24408.25,24410.25
2025-08-11 10:03,24410.85,24413.85,24409.10,24409.85
2025-08-11 10:04,24409.45,24414.65,24408.20,24411.05
2025-08-11 10:05,24411.75,24413.30,24406.80,24407.60
2025-08-11 10:06,24408.35,24414.25,24407.30,24412.10
2025-08-11 10:07,24412.10,24412.70,24404.80,24409.30
2025-08-11 10:08,24409.80,24410.40,24398.10,24399.20
2025-08-11 10:09,24398.50,24406.85,24396.80,24403.15
2025-08-11 10:10,24403.10,24409.30,24401.60,24408.75
2025-08-11 10:11,24408.50,24408.50,24382.00,24402.40
2025-08-11 10:12,24401.95,24404.00,24395.40,24396.10
2025-08-11 10:13,24396.25,24403.20,24393.35,24400.05
2025-08-11 10:14,24399.85,24410.80,24399.20,24410.45
2025-08-11 10:15,24410.80,24422.85,24410.70,24412.80
