DateTime,Open,High,Low,Close,Strike,DTE,weekday
2025-01-23 09:30,53.70,60.45,52.30,60.45,23100,0,4
2025-01-23 09:31,61.40,61.40,56.80,58.30,23100,0,4
2025-01-23 09:32,58.00,61.90,56.80,59.00,23100,0,4
2025-01-23 09:33,58.40,63.20,58.40,60.60,23100,0,4
2025-01-23 09:34,60.30,62.85,59.95,60.75,23100,0,4
2025-01-23 09:35,36.95,65.15,36.90,62.85,23150,0,4
2025-01-23 09:36,60.90,68.40,57.55,57.55,23150,0,4
2025-01-23 09:37,55.20,74.00,55.20,73.25,23150,0,4
2025-01-23 09:38,73.80,78.50,69.10,74.45,23150,0,4
2025-01-23 09:39,74.10,76.95,71.70,74.25,23150,0,4
2025-01-23 09:40,47.65,57.85,47.65,57.45,23200,0,4
2025-01-23 09:41,56.65,58.75,53.00,53.40,23200,0,4
2025-01-23 09:42,53.70,57.45,52.10,54.45,23200,0,4
2025-01-23 09:43,54.40,56.75,53.60,54.70,23200,0,4
2025-01-23 09:44,54.45,62.15,51.65,57.10,23200,0,4
2025-01-23 09:45,57.05,57.05,53.70,53.75,23200,0,4
2025-01-23 09:46,53.80,54.25,47.85,51.95,23200,0,4
2025-01-23 09:47,52.90,54.50,47.60,54.30,23200,0,4
2025-01-23 09:48,55.10,58.35,52.35,53.25,23200,0,4
2025-01-23 09:49,53.40,57.25,52.45,55.00,23200,0,4
2025-01-23 09:50,54.90,55.65,48.70,51.25,23200,0,4
2025-01-23 09:51,51.30,54.35,50.00,53.10,23200,0,4
2025-01-23 09:52,53.55,53.55,48.20,51.45,23200,0,4
2025-01-23 09:53,51.55,56.00,50.85,55.25,23200,0,4
2025-01-23 09:54,55.25,56.60,51.90,52.40,23200,0,4
2025-01-23 09:55,51.75,55.70,51.60,53.40,23200,0,4
2025-01-23 09:56,52.90,55.40,50.10,51.45,23200,0,4
2025-01-23 09:57,51.50,53.20,48.25,52.30,23200,0,4
2025-01-23 09:58,52.00,52.50,43.75,45.00,23200,0,4
2025-01-23 09:59,45.20,45.95,41.15,45.35,23200,0,4
2025-01-23 10:00,45.30,46.40,35.95,37.05,23200,0,4
2025-01-23 10:01,36.45,44.80,36.45,44.00,23200,0,4
2025-01-23 10:02,44.15,52.00,44.15,49.95,23200,0,4
2025-01-23 10:03,49.70,49.70,43.30,45.45,23200,0,4
2025-01-23 10:04,45.40,51.30,44.80,48.80,23200,0,4
2025-01-23 10:05,49.15,49.95,46.70,48.00,23200,0,4
2025-01-23 10:06,48.10,50.45,45.90,47.60,23200,0,4
2025-01-23 10:07,47.80,57.30,46.75,54.60,23200,0,4
2025-01-23 10:08,55.00,55.00,51.20,52.45,23200,0,4
2025-01-23 10:09,52.30,54.45,51.60,53.60,23200,0,4
2025-01-23 10:10,53.30,56.70,52.00,56.70,23200,0,4
2025-01-23 10:11,29.90,33.50,29.90,30.90,23250,0,4
2025-01-23 10:12,57.80,57.80,49.60,55.20,23200,0,4
2025-01-23 10:13,55.80,57.40,51.80,54.15,23200,0,4
2025-01-23 10:14,54.55,54.95,50.65,53.55,23200,0,4
2025-01-23 10:15,52.50,55.00,50.55,53.00,23200,0,4
2025-01-23 10:16,27.40,29.90,27.30,28.05,23250,0,4
2025-01-23 10:17,54.75,55.05,51.00,53.65,23200,0,4
2025-01-23 10:18,27.20,29.40,26.80,28.50,23250,0,4
2025-01-23 10:19,28.35,28.35,25.80,26.10,23250,0,4
2025-01-23 10:20,26.10,27.85,25.60,25.60,23250,0,4
2025-01-23 10:21,24.70,26.60,24.35,25.90,23250,0,4
2025-01-23 10:22,25.45,25.95,23.05,25.35,23250,0,4
2025-01-23 10:23,25.55,26.15,24.55,25.25,23250,0,4
2025-01-23 10:24,26.05,27.20,24.80,26.20,23250,0,4
2025-01-23 10:25,26.15,28.25,25.95,26.40,23250,0,4
2025-01-23 10:26,26.65,28.25,25.55,28.00,23250,0,4
2025-01-23 10:27,27.95,31.30,27.60,29.20,23250,0,4
2025-01-23 10:28,29.15,30.95,28.25,29.90,23250,0,4
2025-01-23 10:29,30.05,32.50,28.05,28.05,23250,0,4
2025-01-23 10:30,28.00,28.45,24.50,25.05,23250,0,4
2025-01-23 10:31,24.85,25.40,22.75,23.80,23250,0,4
2025-01-23 10:32,23.80,27.15,23.50,27.15,23250,0,4
2025-01-23 10:33,28.75,28.85,23.65,23.90,23250,0,4
2025-01-23 10:34,23.75,26.35,23.75,25.10,23250,0,4
2025-01-23 10:35,25.15,25.65,24.10,24.10,23250,0,4
2025-01-23 10:36,24.60,25.40,23.80,25.25,23250,0,4
2025-01-23 10:37,25.10,25.95,23.75,25.45,23250,0,4
2025-01-23 10:38,25.15,26.25,24.70,25.65,23250,0,4
2025-01-23 10:39,25.75,25.80,21.25,22.15,23250,0,4
2025-01-23 10:40,22.15,24.95,22.15,24.65,23250,0,4
2025-01-23 10:41,24.50,25.35,24.35,24.95,23250,0,4
2025-01-23 10:42,24.80,26.15,24.00,24.35,23250,0,4
2025-01-23 10:43,24.20,24.20,21.45,21.60,23250,0,4
2025-01-23 10:44,21.60,23.40,21.60,23.15,23250,0,4
2025-01-23 10:45,23.10,23.95,22.25,22.40,23250,0,4
2025-01-23 10:46,22.55,23.00,21.10,23.00,23250,0,4
2025-01-23 10:47,23.05,23.90,22.00,22.00,23250,0,4
2025-01-23 10:48,21.85,23.25,21.55,22.10,23250,0,4
2025-01-23 10:49,21.95,22.20,19.75,19.75,23250,0,4
2025-01-23 10:50,50.45,50.80,44.35,44.35,23200,0,4
2025-01-23 10:51,43.75,45.00,38.50,41.35,23200,0,4
2025-01-23 10:52,41.20,42.15,37.10,40.20,23200,0,4
2025-01-23 10:53,39.70,41.45,38.40,40.65,23200,0,4
2025-01-23 10:54,40.15,41.20,38.25,40.35,23200,0,4
2025-01-23 10:55,40.20,42.15,38.20,41.25,23200,0,4
2025-01-23 10:56,41.30,43.65,39.50,39.70,23200,0,4
