DateTime,Open,High,Low,Close,Strike,DTE,weekday
2024-04-18 09:30,41.50,77.00,40.90,49.65,22250,0,4
2024-04-18 09:31,49.05,56.70,48.15,52.50,22250,0,4
2024-04-18 09:32,52.80,58.20,52.80,55.95,22250,0,4
2024-04-18 09:33,56.75,57.00,51.30,54.35,22250,0,4
2024-04-18 09:34,55.85,65.20,54.20,62.70,22250,0,4
2024-04-18 09:35,62.65,65.85,60.20,63.25,22250,0,4
2024-04-18 09:36,62.40,62.55,57.20,58.00,22250,0,4
2024-04-18 09:37,56.90,67.20,55.90,64.50,22250,0,4
2024-04-18 09:38,64.15,65.95,61.00,64.55,22250,0,4
2024-04-18 09:39,41.10,51.80,38.35,48.10,22200,0,4
2024-04-18 09:40,47.80,50.50,43.05,45.15,22200,0,4
2024-04-18 09:41,45.55,48.65,43.60,48.05,22200,0,4
2024-04-18 09:42,47.65,48.75,44.15,47.85,22200,0,4
2024-04-18 09:43,47.90,75.60,47.90,64.55,22200,0,4
2024-04-18 09:44,65.30,68.90,57.15,59.90,22200,0,4
2024-04-18 09:45,58.10,58.45,55.45,57.05,22200,0,4
2024-04-18 09:46,56.75,72.00,56.25,67.80,22200,0,4
2024-04-18 09:47,66.90,75.10,66.40,72.75,22200,0,4
2024-04-18 09:48,72.00,72.75,66.00,66.00,22200,0,4
2024-04-18 09:49,64.45,71.30,64.05,71.30,22200,0,4
2024-04-18 09:50,70.55,70.55,58.10,59.30,22200,0,4
2024-04-18 09:51,58.10,59.50,54.40,58.60,22200,0,4
2024-04-18 09:52,57.70,65.70,57.70,62.70,22200,0,4
2024-04-18 09:53,62.55,64.95,62.10,63.80,22200,0,4
2024-04-18 09:54,63.65,65.75,56.85,56.85,22200,0,4
2024-04-18 09:55,56.35,60.60,54.75,56.85,22200,0,4
2024-04-18 09:56,56.40,56.95,50.15,52.15,22200,0,4
2024-04-18 09:57,51.90,54.25,47.40,53.10,22200,0,4
2024-04-18 09:58,54.05,54.05,47.80,49.35,22200,0,4
2024-04-18 09:59,48.55,49.60,46.40,47.90,22200,0,4
2024-04-18 10:00,46.90,46.90,42.70,43.40,22200,0,4
2024-04-18 10:01,43.10,43.50,36.90,38.35,22200,0,4
2024-04-18 10:02,37.40,39.40,36.30,37.35,22200,0,4
2024-04-18 10:03,36.95,40.50,36.15,40.35,22200,0,4
2024-04-18 10:04,39.85,42.05,35.85,41.00,22200,0,4
2024-04-18 10:05,41.35,44.40,40.75,41.35,22200,0,4
2024-04-18 10:06,41.10,41.10,37.55,39.40,22200,0,4
2024-04-18 10:07,39.85,61.45,38.30,61.25,22200,0,4
2024-04-18 10:08,60.55,76.80,54.75,55.10,22200,0,4
2024-04-18 10:09,54.60,55.75,45.75,46.90,22200,0,4
2024-04-18 10:10,46.35,56.00,45.85,53.70,22200,0,4
2024-04-18 10:11,54.80,62.15,53.45,58.35,22200,0,4
2024-04-18 10:12,58.05,64.35,57.10,61.65,22200,0,4
2024-04-18 10:13,61.20,66.00,59.80,65.10,22200,0,4
2024-04-18 10:14,65.75,68.80,63.30,64.35,22200,0,4
2024-04-18 10:15,41.30,46.90,37.90,44.25,22150,0,4
2024-04-18 10:16,68.30,68.70,62.15,62.15,22200,0,4
2024-04-18 10:17,61.00,67.00,61.00,62.45,22200,0,4
2024-04-18 10:18,63.90,69.85,63.00,63.95,22200,0,4
2024-04-18 10:19,64.70,68.35,64.25,65.45,22200,0,4
2024-04-18 10:20,41.55,54.80,39.60,53.75,22150,0,4
2024-04-18 10:21,54.50,54.50,45.55,51.65,22150,0,4
2024-04-18 10:22,51.95,55.50,50.00,50.80,22150,0,4
2024-04-18 10:23,49.20,49.85,41.75,43.30,22150,0,4
2024-04-18 10:24,68.30,70.30,63.40,67.40,22200,0,4
2024-04-18 10:25,41.45,48.70,40.75,47.85,22150,0,4
2024-04-18 10:26,47.50,49.20,45.25,46.55,22150,0,4
2024-04-18 10:27,46.55,49.45,43.80,45.65,22150,0,4
2024-04-18 10:28,45.70,48.65,45.45,46.15,22150,0,4
2024-04-18 10:29,73.45,75.20,66.90,66.90,22200,0,4
2024-04-18 10:30,40.55,44.45,36.95,44.45,22150,0,4
2024-04-18 10:31,71.25,76.90,62.05,64.35,22200,0,4
2024-04-18 10:32,64.00,65.80,60.80,65.25,22200,0,4
2024-04-18 10:33,65.40,66.50,61.80,62.80,22200,0,4
2024-04-18 10:34,62.15,63.50,52.50,53.10,22200,0,4
2024-04-18 10:35,52.65,57.45,52.55,56.45,22200,0,4
2024-04-18 10:36,56.20,58.25,50.15,51.80,22200,0,4
2024-04-18 10:37,50.65,50.65,45.15,47.15,22200,0,4
2024-04-18 10:38,46.95,49.75,45.65,46.30,22200,0,4
2024-04-18 10:39,45.75,49.45,45.75,48.00,22200,0,4
2024-04-18 10:40,47.00,52.15,47.00,50.90,22200,0,4
2024-04-18 10:41,51.40,55.10,50.35,53.55,22200,0,4
2024-04-18 10:42,53.20,53.30,50.35,52.50,22200,0,4
2024-04-18 10:43,52.55,52.55,49.00,50.95,22200,0,4
2024-04-18 10:44,51.05,54.90,50.35,54.45,22200,0,4
2024-04-18 10:45,53.90,58.60,53.55,56.25,22200,0,4
2024-04-18 10:46,56.30,59.05,56.00,58.75,22200,0,4
2024-04-18 10:47,58.20,63.05,57.35,61.35,22200,0,4
2024-04-18 10:48,60.85,61.70,56.85,58.05,22200,0,4
2024-04-18 10:49,57.95,61.85,57.95,61.70,22200,0,4
2024-04-18 10:50,61.85,64.85,59.55,62.25,22200,0,4
2024-04-18 10:51,38.35,43.05,36.40,43.05,22150,0,4
2024-04-18 10:52,70.10,70.10,62.65,63.70,22200,0,4
2024-04-18 10:53,38.40,44.15,37.85,42.95,22150,0,4
2024-04-18 10:54,68.60,68.60,61.00,61.00,22200,0,4
2024-04-18 10:55,60.75,62.90,57.50,58.65,22200,0,4
2024-04-18 10:56,59.00,59.00,56.10,58.55,22200,0,4
2024-04-18 10:57,58.15,58.85,54.25,54.80,22200,0,4
2024-04-18 10:58,54.65,55.95,51.65,51.85,22200,0,4
2024-04-18 10:59,50.65,52.05,46.35,46.35,22200,0,4
2024-04-18 11:00,46.40,48.30,44.75,47.55,22200,0,4
2024-04-18 11:01,47.00,51.10,47.00,48.80,22200,0,4
2024-04-18 11:02,47.85,48.85,45.70,46.15,22200,0,4
2024-04-18 11:03,45.50,45.50,40.55,40.75,22200,0,4
2024-04-18 11:04,41.00,41.00,35.05,36.70,22200,0,4
2024-04-18 11:05,68.60,68.75,47.90,47.90,22250,0,4
2024-04-18 11:06,43.95,44.00,34.60,41.50,22250,0,4
2024-04-18 11:07,41.10,41.85,35.35,35.35,22250,0,4
2024-04-18 11:08,36.10,39.20,33.55,36.80,22250,0,4
2024-04-18 11:09,36.40,37.80,31.80,32.60,22250,0,4
2024-04-18 11:10,57.85,57.85,49.50,51.20,22300,0,4
2024-04-18 11:11,50.70,53.65,49.90,52.30,22300,0,4
2024-04-18 11:12,52.60,56.35,52.60,55.40,22300,0,4
2024-04-18 11:13,55.95,56.20,52.60,54.90,22300,0,4
2024-04-18 11:14,55.15,59.15,54.55,54.90,22300,0,4
2024-04-18 11:15,55.15,55.15,52.05,52.75,22300,0,4
2024-04-18 11:16,52.30,52.70,48.30,51.60,22300,0,4
2024-04-18 11:17,51.45,58.35,51.45,55.95,22300,0,4
2024-04-18 11:18,56.70,61.15,55.75,59.60,22300,0,4
2024-04-18 11:19,60.25,60.35,55.30,58.60,22300,0,4
2024-04-18 11:20,58.75,62.30,58.75,59.45,22300,0,4
2024-04-18 11:21,59.60,61.45,56.95,61.35,22300,0,4
2024-04-18 11:22,33.65,34.85,32.00,34.25,22250,0,4
2024-04-18 11:23,61.95,63.20,58.90,60.55,22300,0,4
2024-04-18 11:24,60.55,61.20,53.35,54.20,22300,0,4
2024-04-18 11:25,53.80,56.50,51.25,56.15,22300,0,4
2024-04-18 11:26,56.75,60.95,55.65,60.65,22300,0,4
