DateTime,Open,High,Low,Close
2025-11-18 09:30,25963.20,25964.05,25951.60,25951.75
2025-11-18 09:31,25952.00,25962.60,25952.00,25960.00
2025-11-18 09:32,25959.70,25970.35,25959.20,25966.75
2025-11-18 09:33,25966.80,25971.75,25966.65,25967.35
2025-11-18 09:34,25967.60,25968.30,25961.75,25963.55
2025-11-18 09:35,25963.05,25963.95,25958.35,25958.35
2025-11-18 09:36,25957.45,25957.80,25952.10,25954.20
2025-11-18 09:37,25955.00,25955.00,25949.35,25950.15
2025-11-18 09:38,25950.00,25952.25,25948.75,25949.30
2025-11-18 09:39,25949.55,25951.05,25943.30,25943.30
2025-11-18 09:40,25942.10,25945.00,25938.95,25944.50
2025-11-18 09:41,25943.40,25954.85,25941.85,25951.95
2025-11-18 09:42,25951.95,25952.05,25945.05,25946.05
2025-11-18 09:43,25946.00,25952.35,25943.95,25952.35
2025-11-18 09:44,25951.60,25954.45,25950.60,25952.05
2025-11-18 09:45,25949.15,25953.90,25949.15,25953.90
2025-11-18 09:46,25954.10,25956.20,25950.95,25952.35
2025-11-18 09:47,25952.00,25959.05,25951.80,25952.75
2025-11-18 09:48,25952.70,25954.95,25940.20,25941.25
2025-11-18 09:49,25941.50,25941.80,25927.45,25927.45
2025-11-18 09:50,25926.55,25926.55,25917.35,25918.10
2025-11-18 09:51,25918.25,25919.25,25914.80,25917.00
2025-11-18 09:52,25916.35,25923.45,25916.35,25918.80
2025-11-18 09:53,25918.30,25918.95,25912.40,25914.30
2025-11-18 09:54,25913.00,25917.25,25912.50,25916.45
2025-11-18 09:55,25916.25,25917.80,25912.55,25914.25
2025-11-18 09:56,25915.30,25915.50,25910.25,25911.25
2025-11-18 09:57,25911.45,25912.95,25909.00,25909.55
2025-11-18 09:58,25909.00,25911.95,25907.00,25907.60
2025-11-18 09:59,25907.00,25909.70,25896.20,25896.20
2025-11-18 10:00,25895.85,25896.30,25882.30,25892.75
2025-11-18 10:01,25892.60,25898.55,25891.45,25898.35
2025-11-18 10:02,25897.85,25904.35,25897.85,25900.05
2025-11-18 10:03,25899.25,25905.55,25899.25,25904.15
2025-11-18 10:04,25905.35,25912.10,25905.35,25908.95
2025-11-18 10:05,25910.90,25912.85,25908.10,25911.40
2025-11-18 10:06,25912.00,25914.60,25910.70,25910.85
2025-11-18 10:07,25910.60,25910.60,25901.00,25901.45
2025-11-18 10:08,25901.60,25902.75,25898.80,25899.75
2025-11-18 10:09,25899.15,25903.60,25897.15,25902.85
2025-11-18 10:10,25903.30,25903.70,25899.25,25901.25
2025-11-18 10:11,25901.00,25902.80,25899.90,25901.55
2025-11-18 10:12,25901.85,25902.40,25897.60,25898.35
2025-11-18 10:13,25897.80,25898.75,25894.85,25895.75
2025-11-18 10:14,25896.00,25897.35,25894.70,25895.85
2025-11-18 10:15,25895.25,25897.20,25893.45,25894.85
2025-11-18 10:16,25895.50,25898.20,25894.75,25897.25
2025-11-18 10:17,25897.30,25900.15,25895.90,25899.05
2025-11-18 10:18,25899.50,25902.30,25896.95,25901.25
2025-11-18 10:19,25901.85,25909.80,25901.15,25908.15
2025-11-18 10:20,25908.70,25916.15,25908.70,25915.20
2025-11-18 10:21,25915.15,25916.55,25913.20,25913.20
2025-11-18 10:22,25913.05,25913.30,25910.55,25911.50
2025-11-18 10:23,25910.90,25917.65,25908.90,25915.50
2025-11-18 10:24,25915.55,25917.60,25911.20,25912.90
2025-11-18 10:25,25913.20,25915.40,25911.45,25914.05
2025-11-18 10:26,25913.95,25916.90,25911.50,25912.00
2025-11-18 10:27,25912.55,25913.00,25907.25,25907.25
2025-11-18 10:28,25907.40,25908.30,25904.95,25905.10
2025-11-18 10:29,25905.05,25905.80,25898.50,25898.80
2025-11-18 10:30,25898.70,25902.85,25898.70,25900.90
2025-11-18 10:31,25900.55,25900.55,25896.60,25897.95
2025-11-18 10:32,25898.55,25898.55,25887.40,25887.40
2025-11-18 10:33,25887.60,25888.85,25882.90,25884.55
2025-11-18 10:34,25884.50,25886.85,25883.30,25884.00
2025-11-18 10:35,25884.35,25885.20,25878.20,25878.85
2025-11-18 10:36,25879.60,25886.00,25877.25,25886.00
2025-11-18 10:37,25885.55,25886.25,25881.15,25881.65
2025-11-18 10:38,25882.00,25888.75,25881.55,25888.00
2025-11-18 10:39,25888.15,25890.95,25884.10,25890.55
2025-11-18 10:40,25890.40,25894.20,25889.30,25893.35
2025-11-18 10:41,25891.75,25894.85,25891.50,25894.25
2025-11-18 10:42,25893.55,25893.75,25888.35,25888.65
2025-11-18 10:43,25888.10,25891.40,25886.60,25889.95
2025-11-18 10:44,25889.70,25893.25,25888.45,25891.80
2025-11-18 10:45,25891.95,25893.25,25886.65,25889.45
2025-11-18 10:46,25889.65,25893.65,25889.15,25892.05
2025-11-18 10:47,25893.05,25901.25,25892.65,25900.50
2025-11-18 10:48,25899.95,25908.25,25899.90,25907.25
2025-11-18 10:49,25907.70,25914.75,25905.80,25914.45
2025-11-18 10:50,25915.10,25918.25,25913.85,25916.55
2025-11-18 10:51,25915.95,25916.00,25909.95,25911.70
2025-11-18 10:52,25911.45,25912.75,25909.65,25910.15
2025-11-18 10:53,25910.65,25911.10,25905.30,25908.75
2025-11-18 10:54,25909.75,25912.15,25905.60,25909.05
2025-11-18 10:55,25908.75,25915.35,25907.35,25915.35
2025-11-18 10:56,25915.50,25924.35,25912.65,25924.35
2025-11-18 10:57,25924.55,25930.85,25924.50,25925.60
2025-11-18 10:58,25925.30,25926.80,25923.80,25924.80
2025-11-18 10:59,25924.60,25924.60,25919.20,25921.90
2025-11-18 11:00,25922.55,25933.90,25921.55,25932.00
2025-11-18 11:01,25931.40,25934.10,25930.55,25932.75
2025-11-18 11:02,25933.60,25936.20,25931.60,25932.65
2025-11-18 11:03,25932.75,25933.00,25927.90,25929.20
2025-11-18 11:04,25929.65,25929.65,25925.65,25927.95
2025-11-18 11:05,25927.45,25927.70,25924.40,25925.80
2025-11-18 11:06,25926.15,25927.45,25923.45,25925.60
2025-11-18 11:07,25925.70,25927.30,25923.60,25926.60
2025-11-18 11:08,25926.60,25929.45,25925.15,25928.50
2025-11-18 11:09,25929.60,25932.25,25928.90,25930.55
2025-11-18 11:10,25930.90,25933.05,25929.65,25932.85
2025-11-18 11:11,25933.10,25935.30,25932.20,25932.35
2025-11-18 11:12,25932.75,25933.25,25929.00,25931.80
2025-11-18 11:13,25931.85,25934.90,25931.65,25934.20
2025-11-18 11:14,25933.95,25934.15,25931.55,25933.90
2025-11-18 11:15,25932.60,25937.30,25931.35,25935.85
2025-11-18 11:16,25937.00,25938.20,25935.15,25937.30
2025-11-18 11:17,25937.10,25938.20,25935.10,25938.10
2025-11-18 11:18,25938.20,25942.80,25937.20,25942.80
2025-11-18 11:19,25943.10,25946.10,25942.25,25945.20
2025-11-18 11:20,25946.05,25947.30,25943.25,25943.75
2025-11-18 11:21,25943.75,25947.20,25943.55,25945.20
2025-11-18 11:22,25945.15,25948.70,25944.45,25948.70
2025-11-18 11:23,25948.30,25949.40,25947.20,25947.40
2025-11-18 11:24,25948.10,25948.10,25942.95,25943.20
2025-11-18 11:25,25943.40,25945.50,25941.80,25943.00
2025-11-18 11:26,25943.65,25944.25,25941.00,25942.65
2025-11-18 11:27,25942.35,25943.55,25937.95,25938.20
2025-11-18 11:28,25937.85,25938.35,25933.00,25933.75
2025-11-18 11:29,25933.75,25934.20,25924.85,25924.85
2025-11-18 11:30,25925.00,25927.20,25924.20,25925.50
2025-11-18 11:31,25926.00,25930.90,25924.60,25930.50
2025-11-18 11:32,25930.70,25935.60,25928.80,25935.60
