DateTime,Open,High,Low,Close,Strike,DTE,weekday
2025-05-07 09:30,71.35,78.60,71.35,74.15,24450,1,3
2025-05-07 09:31,74.90,77.30,69.00,75.65,24450,1,3
2025-05-07 09:32,102.45,103.55,98.05,101.05,24400,1,3
2025-05-07 09:33,74.15,82.40,72.55,81.05,24450,1,3
2025-05-07 09:34,81.00,90.30,81.00,88.90,24450,1,3
2025-05-07 09:35,88.15,91.30,82.95,88.25,24450,1,3
2025-05-07 09:36,87.45,89.15,84.20,85.30,24450,1,3
2025-05-07 09:37,85.30,85.40,79.30,82.35,24450,1,3
2025-05-07 09:38,110.45,113.15,99.75,101.70,24400,1,3
2025-05-07 09:39,103.60,103.80,89.00,93.95,24400,1,3
2025-05-07 09:40,94.60,100.15,91.55,97.65,24400,1,3
2025-05-07 09:41,97.65,99.90,92.55,99.60,24400,1,3
2025-05-07 09:42,101.45,103.35,86.40,91.55,24400,1,3
2025-05-07 09:43,91.70,97.35,90.20,92.90,24400,1,3
2025-05-07 09:44,91.80,96.40,89.30,91.50,24400,1,3
2025-05-07 09:45,90.90,93.85,81.10,84.05,24400,1,3
2025-05-07 09:46,115.70,116.15,101.10,101.10,24350,1,3
2025-05-07 09:47,101.95,103.75,87.85,89.80,24350,1,3
2025-05-07 09:48,90.50,92.20,80.85,83.55,24350,1,3
2025-05-07 09:49,82.95,91.50,81.60,91.00,24350,1,3
2025-05-07 09:50,91.30,92.45,82.70,86.20,24350,1,3
2025-05-07 09:51,85.80,87.30,78.00,79.25,24350,1,3
2025-05-07 09:52,79.15,82.00,76.20,76.70,24350,1,3
2025-05-07 09:53,77.15,80.75,74.10,74.55,24350,1,3
2025-05-07 09:54,74.50,78.15,72.95,74.00,24350,1,3
2025-05-07 09:55,74.35,83.25,74.35,80.80,24350,1,3
2025-05-07 09:56,80.45,85.70,77.70,83.80,24350,1,3
2025-05-07 09:57,83.10,95.25,82.20,92.65,24350,1,3
2025-05-07 09:58,91.00,91.90,87.20,89.95,24350,1,3
2025-05-07 09:59,88.75,93.80,80.40,83.70,24350,1,3
2025-05-07 10:00,82.55,92.40,82.45,86.25,24350,1,3
2025-05-07 10:01,86.20,88.70,75.00,75.60,24350,1,3
2025-05-07 10:02,77.10,79.50,73.00,74.80,24350,1,3
2025-05-07 10:03,76.45,83.15,76.45,81.75,24350,1,3
2025-05-07 10:04,82.10,85.45,78.50,80.10,24350,1,3
2025-05-07 10:05,79.50,79.50,74.25,74.85,24350,1,3
2025-05-07 10:06,76.40,79.80,68.85,69.05,24350,1,3
2025-05-07 10:07,69.90,71.10,64.60,68.40,24350,1,3
2025-05-07 10:08,99.50,100.50,92.05,92.05,24300,1,3
2025-05-07 10:09,93.00,93.30,84.75,84.75,24300,1,3
2025-05-07 10:10,85.00,86.45,82.10,84.80,24300,1,3
2025-05-07 10:11,85.30,92.00,84.75,92.00,24300,1,3
2025-05-07 10:12,92.35,92.40,85.00,86.45,24300,1,3
2025-05-07 10:13,86.15,86.55,83.30,86.10,24300,1,3
2025-05-07 10:14,86.50,89.00,84.95,85.65,24300,1,3
2025-05-07 10:15,85.85,87.20,83.80,86.85,24300,1,3
2025-05-07 10:16,86.00,89.75,82.90,83.45,24300,1,3
2025-05-07 10:17,83.65,89.75,83.65,85.95,24300,1,3
2025-05-07 10:18,85.85,86.20,83.15,83.20,24300,1,3
2025-05-07 10:19,83.90,86.20,80.35,82.60,24300,1,3
2025-05-07 10:20,82.15,84.05,78.15,82.50,24300,1,3
2025-05-07 10:21,83.10,83.30,77.95,79.45,24300,1,3
2025-05-07 10:22,79.20,80.80,77.10,78.00,24300,1,3
2025-05-07 10:23,52.70,63.95,52.70,63.85,24350,1,3
2025-05-07 10:24,64.25,71.40,61.20,69.00,24350,1,3
2025-05-07 10:25,69.55,70.50,64.85,67.30,24350,1,3
2025-05-07 10:26,66.10,69.25,62.65,65.15,24350,1,3
2025-05-07 10:27,65.05,72.30,65.05,70.05,24350,1,3
2025-05-07 10:28,69.40,69.55,62.35,62.95,24350,1,3
2025-05-07 10:29,63.05,64.90,59.45,61.90,24350,1,3
2025-05-07 10:30,61.55,69.20,61.30,68.25,24350,1,3
2025-05-07 10:31,67.65,70.65,66.20,70.20,24350,1,3
2025-05-07 10:32,68.90,75.15,68.00,71.25,24350,1,3
2025-05-07 10:33,70.90,77.90,69.70,77.05,24350,1,3
2025-05-07 10:34,76.30,84.85,75.35,82.40,24350,1,3
2025-05-07 10:35,80.95,80.95,76.25,78.85,24350,1,3
2025-05-07 10:36,78.65,79.80,73.70,74.95,24350,1,3
2025-05-07 10:37,74.40,81.25,73.20,80.45,24350,1,3
2025-05-07 10:38,79.75,81.50,76.05,78.30,24350,1,3
2025-05-07 10:39,77.55,78.50,75.30,76.90,24350,1,3
2025-05-07 10:40,76.10,79.40,71.95,76.95,24350,1,3
2025-05-07 10:41,75.80,81.20,73.50,80.05,24350,1,3
2025-05-07 10:42,79.60,79.65,75.90,77.40,24350,1,3
