DateTime,Open,High,Low,Close
2025-05-23 09:30,24714.00,24715.90,24696.10,24700.60
2025-05-23 09:31,24701.55,24717.45,24698.60,24716.55
2025-05-23 09:32,24716.60,24729.05,24715.20,24724.15
2025-05-23 09:33,24724.75,24727.90,24722.50,24727.70
2025-05-23 09:34,24727.25,24751.65,24726.20,24746.90
2025-05-23 09:35,24746.40,24757.45,24742.05,24755.35
2025-05-23 09:36,24754.90,24759.30,24743.95,24758.20
2025-05-23 09:37,24757.60,24763.00,24756.45,24760.55
2025-05-23 09:38,24760.50,24773.00,24759.60,24771.20
2025-05-23 09:39,24771.30,24771.85,24748.35,24750.45
2025-05-23 09:40,24749.90,24756.90,24749.60,24752.00
2025-05-23 09:41,24751.50,24757.15,24746.30,24752.10
2025-05-23 09:42,24752.05,24758.00,24750.30,24758.00
2025-05-23 09:43,24758.10,24778.65,24756.65,24775.50
2025-05-23 09:44,24775.15,24784.55,24772.95,24781.40
2025-05-23 09:45,24780.95,24786.35,24763.25,24766.35
2025-05-23 09:46,24766.85,24780.05,24764.90,24779.00
2025-05-23 09:47,24779.10,24793.85,24778.65,24790.75
2025-05-23 09:48,24790.25,24795.30,24788.25,24788.95
2025-05-23 09:49,24788.40,24789.80,24777.55,24780.75
2025-05-23 09:50,24781.40,24789.35,24780.55,24787.55
2025-05-23 09:51,24786.00,24787.75,24768.30,24772.00
2025-05-23 09:52,24771.25,24786.05,24770.85,24784.85
2025-05-23 09:53,24785.35,24799.55,24784.60,24799.35
2025-05-23 09:54,24800.50,24806.40,24799.45,24804.10
2025-05-23 09:55,24805.40,24805.90,24794.00,24795.90
2025-05-23 09:56,24796.65,24797.65,24790.50,24792.20
2025-05-23 09:57,24792.00,24793.10,24784.00,24785.95
2025-05-23 09:58,24787.00,24794.65,24785.15,24785.40
2025-05-23 09:59,24785.85,24796.25,24783.80,24796.00
2025-05-23 10:00,24795.45,24801.20,24785.80,24786.55
2025-05-23 10:01,24786.35,24796.65,24785.15,24793.10
2025-05-23 10:02,24793.85,24795.65,24790.25,24793.50
2025-05-23 10:03,24794.20,24818.70,24793.20,24816.65
2025-05-23 10:04,24818.05,24818.20,24808.80,24809.55
2025-05-23 10:05,24808.95,24815.50,24805.35,24815.25
2025-05-23 10:06,24814.45,24814.85,24800.70,24803.20
2025-05-23 10:07,24803.90,24810.65,24801.25,24807.40
2025-05-23 10:08,24807.80,24811.45,24805.85,24810.10
