DateTime,Open,High,Low,Close
2025-12-24 09:30,26217.60,26222.65,26216.80,26217.55
2025-12-24 09:31,26217.15,26223.30,26215.40,26220.60
2025-12-24 09:32,26220.65,26222.70,26217.75,26219.30
2025-12-24 09:33,26217.85,26229.20,26217.85,26227.30
2025-12-24 09:34,26226.20,26228.55,26220.45,26222.65
2025-12-24 09:35,26223.40,26225.95,26217.20,26217.20
2025-12-24 09:36,26217.45,26224.10,26214.60,26216.85
2025-12-24 09:37,26215.45,26221.85,26214.45,26215.90
2025-12-24 09:38,26215.65,26220.85,26214.05,26216.55
2025-12-24 09:39,26215.90,26217.90,26211.55,26214.60
2025-12-24 09:40,26213.30,26216.60,26207.90,26215.30
2025-12-24 09:41,26215.10,26215.45,26208.00,26209.60
2025-12-24 09:42,26208.75,26211.25,26204.55,26207.75
2025-12-24 09:43,26207.55,26210.15,26202.65,26207.70
2025-12-24 09:44,26208.55,26218.05,26206.60,26215.70
2025-12-24 09:45,26217.60,26222.50,26213.90,26217.55
2025-12-24 09:46,26218.55,26221.45,26208.95,26209.40
2025-12-24 09:47,26211.95,26215.40,26206.30,26207.05
2025-12-24 09:48,26205.80,26210.90,26203.35,26210.45
2025-12-24 09:49,26210.40,26211.85,26205.60,26206.55
2025-12-24 09:50,26206.40,26213.00,26205.60,26212.45
2025-12-24 09:51,26212.90,26219.65,26210.80,26218.50
2025-12-24 09:52,26218.60,26226.30,26217.55,26226.30
2025-12-24 09:53,26225.90,26227.25,26215.00,26218.05
2025-12-24 09:54,26216.85,26223.35,26216.85,26220.30
2025-12-24 09:55,26219.25,26222.45,26212.85,26215.05
2025-12-24 09:56,26214.65,26217.05,26211.30,26211.35
2025-12-24 09:57,26210.70,26215.80,26210.60,26214.20
2025-12-24 09:58,26213.40,26223.90,26213.40,26223.90
2025-12-24 09:59,26222.85,26225.10,26219.85,26221.85
2025-12-24 10:00,26222.60,26225.10,26217.75,26218.15
2025-12-24 10:01,26218.20,26221.65,26215.15,26216.15
2025-12-24 10:02,26216.70,26219.35,26214.75,26216.30
2025-12-24 10:03,26216.80,26217.70,26213.80,26215.10
2025-12-24 10:04,26215.30,26215.95,26208.20,26209.70
2025-12-24 10:05,26211.70,26212.15,26206.95,26209.70
2025-12-24 10:06,26211.15,26213.95,26206.55,26206.55
2025-12-24 10:07,26207.05,26211.95,26205.80,26211.35
2025-12-24 10:08,26211.15,26213.35,26203.60,26206.00
2025-12-24 10:09,26207.15,26213.15,26204.55,26211.55
2025-12-24 10:10,26211.45,26218.60,26209.65,26217.00
2025-12-24 10:11,26217.65,26221.75,26214.90,26221.40
2025-12-24 10:12,26221.30,26224.20,26218.30,26219.15
2025-12-24 10:13,26219.20,26226.55,26217.70,26226.55
2025-12-24 10:14,26226.10,26228.65,26224.10,26227.20
2025-12-24 10:15,26228.50,26234.85,26224.95,26233.70
2025-12-24 10:16,26233.80,26236.30,26227.65,26233.40
2025-12-24 10:17,26234.30,26235.85,26227.00,26231.05
2025-12-24 10:18,26230.60,26234.10,26229.90,26230.95
2025-12-24 10:19,26231.20,26232.50,26224.25,26224.25
2025-12-24 10:20,26225.30,26227.75,26221.10,26224.00
2025-12-24 10:21,26223.20,26227.95,26221.05,26225.00
2025-12-24 10:22,26225.10,26229.70,26222.75,26222.85
2025-12-24 10:23,26224.70,26229.30,26224.55,26224.95
2025-12-24 10:24,26226.15,26228.00,26222.45,26224.20
2025-12-24 10:25,26224.90,26226.30,26221.20,26224.55
2025-12-24 10:26,26225.05,26230.20,26225.05,26229.55
2025-12-24 10:27,26229.15,26231.60,26226.05,26229.80
2025-12-24 10:28,26228.55,26232.20,26226.85,26229.90
2025-12-24 10:29,26230.15,26232.15,26228.45,26230.95
2025-12-24 10:30,26230.50,26232.90,26228.00,26231.10
2025-12-24 10:31,26230.85,26233.65,26229.10,26231.20
2025-12-24 10:32,26230.95,26235.30,26226.95,26230.05
2025-12-24 10:33,26229.40,26235.35,26228.10,26231.15
2025-12-24 10:34,26231.65,26232.90,26227.70,26230.45
2025-12-24 10:35,26230.85,26234.75,26228.35,26232.40
2025-12-24 10:36,26230.60,26233.70,26226.80,26226.80
2025-12-24 10:37,26228.45,26231.70,26224.65,26226.25
2025-12-24 10:38,26227.25,26227.70,26221.00,26221.80
2025-12-24 10:39,26223.90,26227.20,26222.15,26227.20
2025-12-24 10:40,26226.35,26227.20,26222.35,26225.50
2025-12-24 10:41,26225.10,26227.20,26221.25,26223.95
2025-12-24 10:42,26222.60,26227.60,26221.75,26226.70
2025-12-24 10:43,26226.00,26226.80,26221.60,26223.75
2025-12-24 10:44,26224.70,26227.80,26218.30,26218.30
2025-12-24 10:45,26220.10,26223.30,26218.50,26222.65
2025-12-24 10:46,26221.95,26223.85,26215.65,26216.95
2025-12-24 10:47,26217.10,26219.60,26214.10,26216.10
2025-12-24 10:48,26215.85,26216.20,26207.45,26208.20
2025-12-24 10:49,26208.95,26211.75,26205.40,26207.85
2025-12-24 10:50,26208.95,26212.45,26204.25,26208.30
2025-12-24 10:51,26208.40,26210.70,26204.35,26205.05
2025-12-24 10:52,26206.25,26208.70,26203.55,26208.00
2025-12-24 10:53,26206.70,26210.75,26205.95,26209.55
2025-12-24 10:54,26209.75,26212.35,26204.00,26206.25
2025-12-24 10:55,26207.30,26208.00,26201.05,26203.70
2025-12-24 10:56,26203.75,26210.65,26202.10,26210.35
2025-12-24 10:57,26211.25,26215.05,26208.30,26212.95
2025-12-24 10:58,26213.90,26215.40,26210.75,26213.00
2025-12-24 10:59,26214.20,26215.60,26207.10,26210.80
2025-12-24 11:00,26211.60,26215.10,26209.90,26213.30
2025-12-24 11:01,26212.85,26216.85,26211.30,26214.05
2025-12-24 11:02,26214.10,26214.55,26200.80,26200.80
2025-12-24 11:03,26201.35,26205.15,26198.05,26203.55
2025-12-24 11:04,26204.15,26206.95,26201.05,26202.10
2025-12-24 11:05,26202.60,26206.95,26202.40,26205.45
2025-12-24 11:06,26205.95,26207.60,26202.20,26202.90
2025-12-24 11:07,26203.85,26207.00,26200.90,26205.55
2025-12-24 11:08,26205.35,26209.25,26201.15,26204.00
2025-12-24 11:09,26203.80,26208.55,26202.15,26205.15
2025-12-24 11:10,26204.85,26206.45,26200.60,26202.90
2025-12-24 11:11,26203.75,26204.55,26199.55,26201.20
2025-12-24 11:12,26201.60,26206.55,26200.70,26205.95
2025-12-24 11:13,26205.95,26210.10,26204.70,26209.10
2025-12-24 11:14,26209.35,26212.20,26207.65,26210.15
2025-12-24 11:15,26210.30,26211.30,26207.30,26209.25
2025-12-24 11:16,26209.70,26212.40,26207.25,26209.20
2025-12-24 11:17,26209.40,26210.90,26206.90,26209.05
2025-12-24 11:18,26208.10,26212.20,26208.10,26209.10
2025-12-24 11:19,26209.40,26210.40,26206.80,26208.25
2025-12-24 11:20,26209.50,26211.50,26208.25,26211.15
2025-12-24 11:21,26211.65,26215.90,26210.55,26215.90
2025-12-24 11:22,26216.00,26217.80,26213.10,26217.80
2025-12-24 11:23,26217.55,26221.00,26213.80,26217.50
2025-12-24 11:24,26216.80,26218.45,26212.55,26215.00
2025-12-24 11:25,26215.05,26215.80,26209.20,26211.75
2025-12-24 11:26,26211.25,26212.15,26205.25,26207.60
2025-12-24 11:27,26206.90,26210.10,26206.25,26207.10
2025-12-24 11:28,26208.05,26211.30,26205.55,26209.00
2025-12-24 11:29,26209.60,26214.75,26208.80,26213.05
2025-12-24 11:30,26214.35,26216.00,26211.65,26213.75
2025-12-24 11:31,26214.35,26215.55,26210.00,26210.25
2025-12-24 11:32,26210.80,26215.60,26208.95,26214.10
2025-12-24 11:33,26215.15,26215.70,26211.45,26212.70
2025-12-24 11:34,26212.90,26217.45,26211.90,26215.00
2025-12-24 11:35,26215.50,26216.25,26212.20,26212.70
2025-12-24 11:36,26213.90,26214.95,26211.00,26213.10
2025-12-24 11:37,26212.95,26214.85,26211.10,26211.40
2025-12-24 11:38,26211.55,26213.90,26209.70,26209.80
2025-12-24 11:39,26210.75,26212.75,26206.60,26207.70
2025-12-24 11:40,26208.45,26210.70,26205.90,26207.90
2025-12-24 11:41,26207.30,26208.40,26201.80,26205.15
2025-12-24 11:42,26204.80,26206.90,26197.55,26199.40
2025-12-24 11:43,26198.75,26200.05,26189.90,26190.40
2025-12-24 11:44,26190.55,26190.55,26184.15,26185.45
